titulo;categoria;macrocategoria;disponibles;precio_original;precio_oferta;porcentaje_descuento;autor;editorial;encuadernacion;peso_kg;largo;ancho;grosor;ano_edicion;paginas;descripcion;link;fecha_extraccion;volumen
eldest (ciclo el legado 2);literatura fantastica;literatura literatura fantasticaliteratura fantastica;20;18000,0;13500,0;0,25;paolini, christopher;rocabolsillo;rustico/bolsillo;0,54;19,0;12,5;3,5;2023,0;832,0;ELDEST (CICLO EL LEGADO 2)Eragon y su dragona Saphira acaban de impedir que las poderosas fuerzas del rey Galbatorix, cruel regente del Imperio, destruyan para siempre el ejército rebelde de los vardenos en Farthen Dur, la ciudad montaña de los enanos.Pocos días después de la sangrienta batalla contra los urgalos, Eragon y Saphira tienen que viajar a Ellesméra, el país de los elfos, para continuar con su formación en lamagia y la lucha con la espada, las dos habilidades especiales de los Jinete de Dragón, para poder enfrentarse al malvado Rey.Los acompañarán Ayra, la elfa, y Orik, el enano, en un viaje plagado de descubrimientos y aventuras, con parajes fabulosos y nuevas amistades. Pero el caos y la traición los acecharán sin descanso, y Eragon no sabrá en quién confiar.Entre tanto, los sones inconfundibles de la guerra tienen en vilo al reino de Alagaësia. Las espadas se afilan y las nubes de oscuridad presagian terror y muerte.A Carvahall, cerca de las montañas Vertebradas, también llega el miedo: dos Ra’zac han aparecido acompañados de un destacamento para capturar a Roran, el primo de Eragon. Roran tendrá que huir, pero pronto se dará cuenta de que no es posible escapar siempre. Además, el deseo de vengar la muerte de su padre en manos de los Ra’zac lo llevará a tomar una decisión que no tendrá marcha atrás.¿Podrá la oscura y poderosa sombra del rey detener a la resistencia?AdquieraELDEST (CICLO EL LEGADO 2)en nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.;https://feriachilenadellibro.cl/producto/9788418850431-eldest-ciclo-el-legado-2/;2025-08-24;831,25
tres enigmas para la organizacion;genero policial;literatura genero policial;5;25900,0;18900,0;0,27;mendoza, eduardo;seix barral;rustico;0,518;23,0;13,3;2,5;2024,0;408,0;TRES ENIGMAS PARA LA ORGANIZACIONBarcelona, primavera de 2022. Los miembros de una organización gubernamental secreta se enfrentan a la peligrosísima investigación de tres casos que tal vez estén relacionados entre sí, o tal vez no: la aparición de un cuerpo sin vida en un hotel de Las Ramblas, la desaparición de un millonario británico en su yate y las singulares finanzas de Conservas Fernández. Creada en pleno franquismo y perdida en el limbo de la burocracia institucional del sistema democrático, la Organización sobrevive con apuros económicos y en los límites de la ley, con una reducida plantilla de personajes heterogéneos, extravagantes y mal avenidos. Entre el suspense y la carcajada, el lector deberá unirse a este disparatado grupo si quiere resolver los tres enigmas de este apasionante rompecabezas. Eduardo Mendoza entrega su mejor y más divertida aventura hasta la fecha. Y lo hace con nueve agentes secretos en una novela de detectives que actualiza los clásicos del género, y en la que el lector encontrará la inconfundible voz narrativa, el brillante sentido del humor, la sátira social y la comedia de enredo que caracterizan a uno de los mejores autores de la lengua española.AdquieraTRES ENIGMAS PARA LA ORGANIZACIONen nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.;https://feriachilenadellibro.cl/producto/9789566291350-tres-enigmas-para-la-organizacion/;2025-08-24;764,7500000000001
las leyendas de luke skywalker;mangas;libros juveniles;10;13900,0;9900,0;0,29;himekawa / fukaya / kisaki / haruichi / subaru / liu;planeta comic;rustico/bolsillo;0,213;18,0;12,8;1,0;2024,0;216,0;LAS LEYENDAS DE LUKE SKYWALKER¿Quién es Luke Skywalker? En la galaxia son muchos los que han oído su nombre, pero son pocos los que han conocido al legendario jedi. Algunos lo consideran un criminal de guerra sin corazón, mientras que otros dicen que no es un ser humano, sino un droide. Ya sea real, ya sea un mito, todos los que aseguran que se han topado con el elusivo Luke Skywalker tienen una aventura inolvidable que contar. En Star Wars: Las leyendas de Luke Skywalker los dibujantes de manga más potentes del momento nos cuentan inspiradores mitos acerca del icónico caballero jedi que han adaptado a partir de la novela homónima y superventas de Ken Liu.AdquieraLAS LEYENDAS DE LUKE SKYWALKERen nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.;https://feriachilenadellibro.cl/producto/9789566185727-las-leyendas-de-luke-skywalker/;2025-08-24;230,4
kalpa imperial;fantasia y magia;libros juveniles;3;20900,0;14900,0;0,29;gorodischer, angelica;minotauro;rustico;0,385;23,0;15,0;1,5;2024,0;264,0;"KALPA IMPERIALKalpa imperial reúne once relatos, once fragmentos de la historia del Imperio Más Vasto que Nunca Existió. Por el narrador sabemos que el Imperio fue destruido y reconstruido infinidad de veces y que su historia vuelve a empezar con cada nueva dinastía de emperadores y emperatrices. El escenario es siempre el mismo: el montañoso norte, el sur selvático y las ciudades capitales. Las historias son múltiples y diversas. Como la de Bib, el chico esmirriado que pretende refundar el Imperio e inventar un nuevo orden; la del último príncipe de la dinastía de los Orioles y su extraña muerte; la de la huérfana que asciende desde los bajos fondos hasta el trono; la del Emperador Cuarto en la dinastía de los Kiautonor, que manda a construir una ciudad en honor de su amante. Angélica Gorodischer crea un universo ficcional portentoso, absolutamente propio, donde la distopía se cruza con el realismo, la novela con el cuento, la metáfora sobre el poder con el pequeño drama humano. Publicado por primera vez en 1983, Kalpa imperial marcó un hito en la obra de esta gran autora argentina y la convirtió en una referente ineludible de la ciencia ficción universal.AdquieraKALPA IMPERIALen nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.";https://feriachilenadellibro.cl/producto/9789569957376-kalpa-imperial/;2025-08-24;517,5
elogio de las manos;narrativa espanola;otra literatura;5;24900,0;17900,0;0,28;carrasco, jesus;seix barral;rustico;0,41;23,0;13,3;2,0;2024,0;320,0;"ELOGIO DE LAS MANOSEn el año 2011, el narrador de esta novela y su familia llegaron, de un modo azaroso, a una vivienda casi en ruinas situada en un pequeño pueblo del sur de España. Un acuerdo con el propietario les permitiría hacer uso de ella mientras él encontraba financiación para construir allí unos apartamentos. Era solo cuestión de tiempo que la casa fuera derribada. Sin embargo, durante los años siguientes, pasaron largos periodos en ella, reparándola con sus propias manos, transformándola en un acogedor lugar de encuentro y celebración. Allí recibieron a vecinos y amigos; con ellos compartieron comida, música, trabajo y risa. Allí la familia llegó a convivir con una docena de gallinas, varios caballos y burros, dos perros y algún ratón. Nunca perdieron de vista que terminarían llegando las máquinas excavadoras, lo que convirtió la experiencia en aquella casa en una elocuente metáfora de la vida: nos entregamos a ella aun sabiendo que termina. Elogio de las manos es una novela tan extraordinaria como la peripecia vital de sus protagonistas, una historia en la que caben la aventura, la reflexión y el recuerdo. Con el talento expresivo que le caracteriza, Jesús Carrasco logra que la vida se cuele entre sus páginas, demostrando que la profundidad no está reñida con la ligereza y que ambas pueden iluminar un libro inolvidable.AdquieraELOGIO DE LAS MANOSen nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.";https://feriachilenadellibro.cl/producto/9789566291381-elogio-de-las-manos/;2025-08-24;611,8000000000001
trilogia dune : edicion de lujo;ciencia ficcion;literatura ciencia ficcion;4;65000,0;48750,0;0,25;herbert, frank;debolsillo;tapa dura;2,06;22,5;15,0;11,0;2024,0;1704,0;TRILOGIA DUNE : EDICION DE LUJOUn estuche de lujo con los tres primeros libros de la epopeya más grande de todos los tiempos en tapa dura con sobrecubiertas.Acabados metalizados, relieves en la cubierta y un diseño con ilustraciones inéditas en España, al alcance de tu mano.En un futuro lejano, en un planeta remoto, se libra una compleja lucha que tendrá repercusiones en toda la galaxia. En las arenas del desértico planeta Akarris, más conocido como Dune, aprender a sobrevivir no es suficiente… Estamos ante una saga apasionante que plantea por primera vez de forma completa, racional y convincente todo un mundo independiente del nuestro. Sin embargo, sus referencias a los problemas ecológicos, el poder de las drogas y la fuerza de los mitos la han convertido en una obra de culto para millones de lectores en todo el mundo.Este estuche contiene las EDICIONES DE LUJO de:1. Dune2. El mesías de Dune3. Hijos de DuneAdquieraTRILOGIA DUNE : EDICION DE LUJOen nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.;https://feriachilenadellibro.cl/producto/9788466367943-trilogia-dune-edicion-de-lujo/;2025-08-24;3712,5
dune (las cronicas de dune 1);ciencia ficcion;literatura ciencia ficcion;23;22000,0;16500,0;0,25;herbert, frank;debolsillo;tapa dura;0,856;22,0;15,0;4,5;2024,0;784,0;DUNE (LAS CRONICAS DE DUNE 1)Dune es la primera novela de la serie homónima “Dune” de Frank Herbert, una obra maestra unánimemente reconocida como la mejor saga de ciencia ficción de todos los tiempos.Arrakis: un planeta desertico donde el agua es el bien más preciado y, donde llorar a los muertos es el símbolo de máxima prodigalidad.Paul Atreides: un adolescente marcado por un destino singular, dotado de extraños poderes y, abocado a convertirse en dictador, mesías y mártir.Los Harkonnen: personificación de las intrigas que rodean el Imperio Galáctico, buscan obtener el control sobre Arrakis para disponer de la melange, preciosa especia y uno de los bienes más codiciados del universo.Los Fremen: seres libres que han convertido el inhóspito paraje de Dune en su hogar, y que se sienten orgullosos de su pasado y temerosos de su futuro.AdquieraDUNE (LAS CRONICAS DE DUNE 1)en nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.;https://feriachilenadellibro.cl/producto/9788466363402-dune-las-cronicas-de-dune-1/;2025-08-24;1485,0
art and electronic media;arte contemporaneo;arte y diseno;1;60800,0;51000,0;0,16;shanken, edward;phaidon;tapa dura;1,87;30,0;26,0;4,0;2009,0;304,0;ART AND ELECTRONIC MEDIAA timely survey that addresses the relationship between art and electronic technology, including mechanics, light, graphics, robots, virtual reality and the webAdquieraART AND ELECTRONIC MEDIAen nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.;https://feriachilenadellibro.cl/producto/9780714847825-art-and-electronic-media/;2025-08-24;3120,0
estuche : saga los pilares de la tierra;novela historica;literatura novela historica;1;60000,0;45000,0;0,25;follett, ken;debolsillo;pack;2,8;19,5;18,0;13,0;2024,0;3696,0;"ESTUCHE : SAGA LOS PILARES DE LA TIERRALos pilares de la Tierra:El gran maestro de la narrativa de acción y suspense nos transporta a la Edad Media, a un fascinante mundo de reyes, damas, caballeros, pugnas feudales, castillos y ciudades amuralladas. El amor y la muerte se entrecruzan vibrantemente en este magistral tapiz cuyo centro es la construcción de una catedral gótica. La historia se inicia con el ahorcamiento público de un inocente y finaliza con la humillación de un rey.Un mundo sin fin:En Un mundo sin fin Ken Follett vuelve al fascinante mundo de Kingsbridge dos siglos después de la construcción de su majestuoso templo gótico. La catedral y el priorato ocupan de nuevo el centro de una encrucijada de amor y de odio, orgullo y codicia. En un mundo en que defensores a ultranza de las viejas costumbres luchan con encono con las mentes más progresistas, la intriga y la tensión llegan rápidamente a límites insoportables con el devastador telón de fondo de la Peste Negra, que aniquiló a la mitad de la población europea.Una columna de fuego:Una columna de fuego arranca cuando el joven Ned Willard regresa a su hogar en Kingsbridge por Navidad. Las antiguas piedras de la catedral de Kingsbridge contemplan una ciudad dividida por el odio religioso. Los principios elevados chocan con la amistad, la lealtad y el amor, y provocan derramamientos de sangre. Ned se encuentra de pronto en el bando contrario al de la muchacha con quien anhela casarse, Margery Fitzgerald.Las tinieblas y el alba (precuela):Año 997, finales de la Edad Oscura. Inglaterra se enfrenta a los ataques de los galeses por el oeste y de los vikingos por el este. La vida es difícil y aquellos que ostentan algo de poder lo ejercen con puño de hierro y, a menudo, en conflicto con el propio rey.En estos tiempos turbulentos, tres vidas se entrecruzan: el joven constructor de barcos Edgar, a punto de fugarse con la mujer a la que ama, comprende que su futuro será muy diferente a lo que había imaginado cuando su hogar es arrasado por los vikingos; Ragna, la rebelde hija de un noble normando, acompaña a su marido a una nueva tierra al otro lado del mar solo para descubrir que las costumbres allí son peligrosamente distintas; y Aldred, un monje idealista, sueña con transformar su humilde abadía en un centro de saber admirado en toda Europa. Los tres se verán abocados a un enfrentamiento con el despiadado obispo Wynstan, decidido a aumentar su poder a cualquier precio.AdquieraESTUCHE : SAGA LOS PILARES DE LA TIERRAen nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.";https://feriachilenadellibro.cl/producto/9788466372732-estuche-saga-los-pilares-de-la-tierra/;2025-08-24;4563,0
el sueno de la familia crespi;novela historica;literatura novela historica;6;27900,0;19900,0;0,29;selmi, alessandra;planeta editorial;rustico;0,7;23,0;15,0;3,5;2024,0;640,0;EL SUEÑO DE LA FAMILIA CRESPINorte de Italia, ribera del río Adda, 1878. Cristoforo Crespi, hijo de una familia de tintoreros, ha alcanzado su sueño: inaugurar una fábrica textil rodeada de todos los servicios necesarios para los trabajadores, una colonia obrera como las que ha visto en Inglaterra y como nunca se han proyectado en su país. Emilia Vitali, hija de uno de los trabajadores más fieles de la familia Crespi, asistirá a la creación de un mundo en el que es posible nacer, vivir y morir sin necesidad de salir de sus límites. Su vida estará irremediablemente ligada a la del resto de habitantes de la colonia, como los Malberti, el alma negra del pueblo, o los Agazzi, una estirpe de proletarios idealistas y rebeldes. Con ellos, Emilia vive las pequeñas y grandes convulsiones de ese microcosmos y se enfrenta a las tormentas de la historia: las revueltas del pan de 1898, la Primera Guerra Mundial, los levantamientos obreros… Sin embargo, su destino irá siempre ligado al de Silvio Crespi, heredero de la visión de su padre Cristoforo. A pesar del abismo social que los separa, Emilia será su apoyo en un momento en que los Crespi correrán el riesgo de perderlo todo. Hasta que finalmente llegará el fascismo, y la colonia, como el resto del mundo, nunca volverá a ser la misma. Inspirada en hechos reales, ésta es la historia del nacimiento de un singular pueblo obrero, hoy Patrimonio de la Humanidad por la Unesco. El sueño de la familia Crespi es una épica y emocionante saga familiar que entreteje medio siglo de historia italiana a través del destino de cuatro familias.AdquieraEL SUEÑO DE LA FAMILIA CRESPIen nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.;https://feriachilenadellibro.cl/producto/9789564085296-el-sueno-de-la-familia-crespi/;2025-08-24;1207,5
diario de una ruptura;autoayuda;autoayuda;10;17000,0;10200,0;0,4;congost, silvia;aguilar;rustico;0,29;21,5;14,5;1,5;2024,0;230,0;DIARIO DE UNA RUPTURALa gran experta en relaciones amorosas de nuestro país, la exitosa psicóloga Silvia Congost, nos da en este libro las claves para superar la parte del amor que más cuesta aceptar: su final.¿Qué harías si quien crees que es el amor de tu vida te abandona unos días antes de iros de viaje al lugar más romántico y bonito que puedas imaginarte?A través de la historia de alguien que tiene que sanar y empezar de cero después del mayor golpe de su vida, la autora muestra todas las etapas del proceso de duelo tras una ruptura, analiza cada una de las fases por las que uno transita y te da los conocimientos y las herramientas necesarias para fluir, encontrar la luz tras la tormenta y descubrir que el fin del amor debe ser el principio de una nueva relación contigo.La psicóloga Silvia Congost construye un libro singular y delicioso que mezcla la ficción con sus enseñanzas y reflexiones para ayudarnos a entender que el amor muchas veces acaba y que, aunque esto sea algo para lo que nadie nos prepara, sin duda lo deberíamos normalizar.AdquieraDIARIO DE UNA RUPTURAen nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.;https://feriachilenadellibro.cl/producto/9789566289043-diario-de-una-ruptura/;2025-08-24;467,625
yo mate a un perro en rumania;contemporanea;literatura contemporanea;3;17000,0;10200,0;0,4;ulloa, claudia;random house mondadori;rustico/bolsillo;0,41;23,0;13,0;2,5;2024,0;328,0;YO MATE A UN PERRO EN RUMANIAEn Noruega, una profesora latinoamericana de idiomas acepta la invitación de un exalumno rumano, Mihai, para recorrer juntos su país natal y despejar así la profunda crisis depresiva en la que ella se encuentra. Sin embargo, apenas iniciado el viaje, la personalidad de Mihai cambia al mismo tiempo que su propio nombre: ahora se hace llamar Ovidiu y, conforme amplían su recorrido, se torna huraño y distante. La protagonista debe enfrentarse entonces a la sombra de sus miedos y adicciones, al acecho de nuevas crisis, esta vez en un país donde la barrera del idioma cubre de bruma los afectos, y donde la muerte, incluso la de un perro, demuestra la persistencia de la vida.Yo maté a un perro en Rumanía es un brillante road trip en el que Claudia Ulloa Donoso revela la humanidad de sus personajes a través de un lenguaje sostenido y original. Se trata de una audaz propuesta literaria que ha cosechado numerosas reseñas y excelentes críticas desde su publicación en distintos países de Hispanoamérica.AdquieraYO MATE A UN PERRO EN RUMANIAen nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.;https://feriachilenadellibro.cl/producto/9789566248279-yo-mate-a-un-perro-en-rumania/;2025-08-24;747,5
los espejismos de la certeza;sociologia;ciencias sociales;9;26900,0;10900,0;0,59;hustvedt, siri;seix barral;rustico;0,525;23,0;13,0;2,5;2021,0;394,0;LOS ESPEJISMOS DE LA CERTEZAComo novelista y academica, Siri Hustvedt siempre ha creído que ciencia y filosofía deben ir de la mano para ofrecernos respuestas sobre quienes somos y cómo nos relacionamos con el mundo. En este nuevo ensayo dirige su ojo crítico a un viejo dilema que ha preocupado a la humanidad desde el origen de los tiempos: cómo funciona la mente y cómo se relaciona con nuestro cuerpo. Lejos de ser una cuestión ya resuelta, a menudo, las ideas y los preconceptos que tenemos sobre ambos han distorsionado y confundido el pensamiento contemporáneo.A partir de disciplinas tan variadas como la neurociencia, la psiquiatría, la genetica, la inteligencia artificial y la psicología evolutiva, Los espejismos de la certeza es un ensayo fascinante en el que Hustvedt ofrece un recorrido por los hallazgos científicos y las corrientes filosóficas que han marcado más de dos mil años de historia de la humanidad para llevarlos al límite, invitándonos, en el camino, a cuestionarnos lo que creemos saber de nosotros mismos.AdquieraLOS ESPEJISMOS DE LA CERTEZAen nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.;https://feriachilenadellibro.cl/producto/9788432237898-los-espejismos-de-la-certeza/;2025-08-24;747,5
fulgor (serie crave 4);fantasia y magia;libros juveniles;12;28500,0;10900,0;0,62;wolff, tracy;planeta editorial;rustico;1,05;23,0;15,0;5,4;2024,0;960,0;FULGOR (SERIE CRAVE 4)No te pierdas la cuarta entrega de la Serie Crave. Ya forma parte de ti.Nadie sobrevivió ileso a la última batalla. Flint está enfadado con el mundo, Jaxon se está convirtiendo en algo que no reconozco, y Hudson ha levantado un muro que no estoy segura de poder romper.Ahora se acerca una guerra y no estamos listos. Necesitaríamos un ejército para tener alguna esperanza de ganar. Pero antes de eso necesito encontrar respuestas a las incógnitas sobre mis antepasados. Respuestas que podrían revelar quién es el verdadero monstruo entre nosotros…  en un mundo lleno de vampiros sedientos de sangre, gárgolas inmortales y una antigua batalla entre dos dioses.No hay garantía de que nadie se quede en pie cuando el polvo se asiente, pero si queremos salvar este mundo, no tengo otra opción. Tendré que abrazar cada parte de mí… incluso las partes que más temo.AdquieraFULGOR (SERIE CRAVE 4)en nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.;https://feriachilenadellibro.cl/producto/9788408252009-fulgor-serie-crave-4/;2025-08-24;1863,0000000000002
el silencio y la colera (los anos gloriosos 2);contemporanea;literatura contemporanea;9;23000,0;13800,0;0,4;lemaitre, pierre;salamandra;rustico;0,755;23,0;16,0;3,6;2024,0;572,0;EL SILENCIO Y LA COLERA (LOS AÑOS GLORIOSOS 2)París, 1952. Tras mudarse a la capital francesa desde Beirut, los hermanos Pelletier se enfrentan a los retos que les plantea su ciudad de adopción. Cuando Hélène llega a Chevrigny, un pueblo de la Francia profunda, para realizar un reportaje por encargo del Journal duSoir, es testigo de los dramas humanos de quienes se verán expulsados para siempre de sus hogares y, en ese contexto, su vida dará un vuelco inesperado.Entretanto, su hermano François, un resuelto periodista del mismo diario parisino, debe descubrir quién es realmente Nine, mientras Jean, el inepto hermano mayor, atormentado por su diabólica esposa, Geneviève, se enfrenta a sus violentas pulsiones y, una vez más, intenta huir de la justicia.AdquieraEL SILENCIO Y LA COLERA (LOS AÑOS GLORIOSOS 2)en nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.;https://feriachilenadellibro.cl/producto/9789566075608-el-silencio-y-la-colera-los-anos-gloriosos-2/;2025-08-24;1324,8
carta prat;comic y novelas graficas;literatura comic y novelas graficas;4;17900,0;2900,0;0,84;monreal, pablo;planeta comic;rustico;0,129;18,0;12,5;1,0;2024,0;128,0;CARTA PRATEmilio es estudiante y, a ratos, cartero: se encarga de repartir las cartas de sus compañeros escritas a chicas (y a veces chicos) de otros liceos. Ha creado un sistema de mucha confidencia e intimidad, cuando un día aparece una carta misteriosa que resulta ser una declaración de venganza contra Emilio. Alguien lo está persiguiendo para hacerle daño. Él, sin embargo, es inteligente y tiene el talento de saber lo que sienten y piensan los demás solo viendo sus gestos. Cree que “No importa lo que las personas dicen, sino lo que piensan”. Matones, notas de amenazas, amigos y hackers se conectan en una entretenida trama en que sus personajes descubrirán lo mejor y lo peor de sus compañeros de curso.AdquieraCARTA PRATen nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.;https://feriachilenadellibro.cl/producto/9789566185710-carta-prat/;2025-08-24;225,0
alexandra kolontai;biografias historicas;ensayos y biografias;4;25900,0;18900,0;0,27;carrere dencausse, helene;critica;rustico;0,339;22,5;13,5;1,0;2023,0;264,0;ALEXANDRA KOLONTAILa primera mujer, feminista y marxista, que ocupó un cargo en el ministerio soviético. Esta es la historia de una mujer excepcional, Alexandra Kolontái. Nacida en San Petersburgo en 1872, en el seno de una familia aristocrática, empezó a interesarse por la política desde una edad temprana y decidió unirse al movimiento revolucionario ruso de 1905 después de haber presenciado ese mismo año la matanza de los obreros frente al Palacio de Invierno. Posteriormente ingresó en las filas de los bolcheviques y, tras el triunfo de la revolución, formó parte del primer gobierno de Lenin. Llegó a ser ministra comisaria del pueblo en una época en la que las mujeres en Europa rara vez llegaban a tener ese cargo. Cinco años más tarde, se convirtió en la primera mujer embajadora de la historia. Kolontái fue una pionera en muchos ámbitos: llevó su vida, especialmente el amor, como le pareció conveniente, defendió el derecho al voto de las mujeres, el derecho al divorcio, la igualdad salarial entre hombres y mujeres, luchó contra el analfabetismo y a favor de la integración de las mujeres en la vida pública. Y, como hablaba varios idiomas y era una oradora extraordinaria, también agitó audiencias por toda Europa, Estados Unidos y México. No es de extrañar que la prensa la apodara «la valkiria de la revolución»..AdquieraALEXANDRA KOLONTAIen nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.;https://feriachilenadellibro.cl/producto/9789569993435-alexandra-kolontai/;2025-08-24;303,75
emperador de roma;prehistoria y antiguedad;historia;4;39900,0;19900,0;0,5;beard, mary;critica;tapa dura;1,036;23,0;15,5;4,0;2024,0;592,0;"EMPERADOR DE ROMAVuelve Mary Beard con la continuación de SPQR. Una nueva manera de ver el Imperio Romano. «Un relato arrollador del mundo social y político de los emperadores romanos por “la clasicista más famosa del mundo”». —The Guardian. ¿Fanáticos del control, adictos al trabajo o adolescentes malcriados? ¿Cómo eran realmente los emperadores de Roma? En SPQR, Mary Beard narró la historia milenaria de la antigua Roma. En este nuevo libro centra su atención en los emperadores que gobernaron el Imperio romano para darnos una versión matizada y más precisa de estas glorificadas figuras clásicas. Desde Julio César (asesinado en el 44 a.C.) hasta Alejandro Severo (asesinado en el 235 d.C.), pasando por el loco de Calígula, el monstruoso Nerón y el filósofo Marco Aurelio, Mary Beard recorre la vida y los mitos de los grandes gobernantes romanos y nos plantea grandes preguntas: ¿qué poder real ostentaban los emperadores?, ¿quién movía los hilos entre bambalinas?, ¿cómo se gobernaba un imperio tan vasto?, ¿realmente estaban las paredes de palacio tan manchadas de sangre? Para darnos respuesta y acercarnos un poco más a la realidad imperial, Mary Beard sigue los pasos del emperador de cerca: en su hogar y en las carreras, en sus viajes e, incluso, de camino hacia el cielo; nos presenta a sus esposas y amantes, a sus rivales y esclavos, a los bufones y soldados de la corte y a la gente corriente que le entregaba cartas de súplica. Emperador de Roma nos lleva directamente hasta el corazón de Roma, y de nuestras fantasías sobre lo que era ser romano, a través de un relato como nunca antes se había contado.AdquieraEMPERADOR DE ROMAen nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.";https://feriachilenadellibro.cl/producto/9788491995821-emperador-de-roma/;2025-08-24;1426,0
el ultimo telesilla;contemporanea;literatura contemporanea;4;31900,0;1900,0;0,94;irving, john;tusquets editores;rustico;1,252;22,5;15,0;4,5;2024,0;1056,0;EL ULTIMO TELESILLALa última gran novela de John Irving, una historia majestuosa de amor y de familia que es también un emocionante alegato a favor de la libertad. «Aquí, el placer lo proporciona una extensa familia cuyas voces distintivas transmiten mensajes reflexivos de tolerancia, comprensión y afecto por aquellos que son diferentes.» Kirkus Reviews. «Poderosamente cinematográfica.» Washington Post. «Resurge en esta novela la vieja magia de Irving: su ingenio y valentía en todo lo que se refiere al sexo, y su comprensión de las graves repercusiones de la intolerancia.» Minneapolis Star Tribune. «La última y majestuosa obra de Irving… es un retrato multigeneracional tan colorido y variado como complejo y peculiar, ya que se hace eco y rinde homenaje a la rica historia literaria del autor… Una gran novela inmersiva.» Booklist. Rachel Brewster es una esquiadora de eslalon que, a los dieciocho años, acude a los campeonatos nacionales en Aspen, Colorado. Cuando regresa a New Hampshire, sin haber ganado ninguna medalla, está embarazada. El niño, Adam, el protagonista de esta novela, concebido en 1941 en el Hotel Jerome de Aspen, jamás sabrá la identidad de su padre. Rachel, por su parte, empieza a trabajar como monitora de esquí y, en los largos meses que pasa fuera de casa, deja al niño con sus peculiares abuelos. Adam crecerá en una familia que desafía todas las convenciones, incluidas las sexuales, y que evita preguntas relativas al pasado. Sin embargo, cuando a sus ochenta años regrese al Hotel Jerome en busca de respuestas, Adam se encontrará con algunos fantasmas inesperados. La inolvidable odisea que, en primera persona, nos ofrece Adam se convierte en un fresco de Estados Unidos, desde los años cuarenta hasta la segunda década del siglo XXI, desde la Guerra Fría y Vietnam, pasando por la era Reagan y la irrupción del sida, hasta llegar al Tea Party y Donald Trump.AdquieraEL ULTIMO TELESILLAen nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.;https://feriachilenadellibro.cl/producto/9788411073394-el-ultimo-telesilla/;2025-08-24;1518,75
