titulo;categoria;macrocategoria;disponibles;precio_original;precio_oferta;porcentaje_descuento;autor;editorial;encuadernacion;peso_kg;largo;ancho;grosor;ano_edicion;paginas;descripcion;link;volumen
historia universal de la infamia;contemporanea;literatura contemporanea;5;12000,0;9000,0;0,25;borges, jorge luis;debolsillo;rustico/bolsillo;0,12;19,0;12,5;1,0;2024,0;144,0;"HISTORIA UNIVERSAL DE LA INFAMIAEn este primer libro de ficción, Borges trabaja con biografías de ladrones y rufianes; personajes traidores y a veces también heroicos. Aquí están, entre otros, Lazarus Morell, redentor de esclavos, Tom Castro, hijo apócrifo y tolerante, y la viuda Ching, hábil en el saqueo de altamar. Cuentos que juegan a falsear y tergiversar historias ajenas. Le siguen «Hombre de la esquina rosada», uno de sus relatos más celebrados, y «Etcétera», un testimonio de sus incontables lecturas: «A veces creo que los buenos lectores son cisnes aún más tenebrosos y singulares que los buenos autores».AdquieraHISTORIA UNIVERSAL DE LA INFAMIAen nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.";https://feriachilenadellibro.cl/producto/9789875666726-historia-universal-de-la-infamia/;237,5
son pololos;ficcion y cuentos;libros infantiles;7;14900,0;11900,0;0,2;31 minutos;planeta comic;tapa dura;0,079;21,0;20,0;1,0;2024,0;32,0;"SON POLOLOS¿Eres fan de 31 Minutos?Bienvenidos a un mundo nuevo de aventuras junto a nuestros amigos más queridos.Grandes y pequeños han vibrado con la música de 31 Minutos y hoy las clásicas canciones que marcaron a una generación toman forma de cuento para agrandar y musicalizar tu biblioteca. Lee y disfruta la romántica historia de Norberto y Raquel; dos jóvenes que no eran tan amigos pero se caían bien.AdquieraSON POLOLOSen nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.";https://feriachilenadellibro.cl/producto/9789566185833-son-pololos/;420,0
senora, devuelvame la pelota o, si no, no se que hare;ficcion y cuentos;libros infantiles;8;14900,0;11900,0;0,2;31 minutos;planeta comic;tapa dura;0,222;21,0;20,0;1,0;2024,0;32,0;SEÑORA, DEVUELVAME LA PELOTA O, SI NO, NO SE QUE HARE¿Eres fan de 31 Minutos?Bienvenidos a un mundo nuevo de aventuras junto a nuestros amigos más queridos.Grandes y pequeños han vibrado con la música de 31 Minutos y hoy las clásicas canciones que marcaron a una generación toman forma de cuento para agrandar y musicalizar tu biblioteca. Esta es la historia de Pepe Lota, un niño que tiró su balón a la casa de su vecina y no sabe qué hacer.AdquieraSEÑORA, DEVUELVAME LA PELOTA O, SI NO, NO SE QUE HAREen nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.;https://feriachilenadellibro.cl/producto/9789566185819-senora-devuelvame-la-pelota-o-si-no-no-se-que-hare/;420,0
moana 2 : la novela;ficcion y cuentos;libros infantiles;4;10900,0;8700,0;0,2;disney;planeta junior;rustico;0,215;21,0;13,0;1,0;2024,0;144,0;MOANA 2 : LA NOVELA¡UNA NUEVA AVENTURA LEJOS DE MOTUNUI!Moana vuelve al mar tras recibir un llamado de sus ancestros que la conducirá a un viaje en compañía de una tripulación inesperada. Juntos, deberán navegar aguas desconocidas en una peligrosa misión que podría costarles todo lo que consideran más importante.Esta novela recrea la historia de la película ¡e incluye una presentación de los personajes a todo color!AdquieraMOANA 2 : LA NOVELAen nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.;https://feriachilenadellibro.cl/producto/9789566232797-moana-2-la-novela/;273,0
hernan cortes;biografias en general;ensayos y biografias;2;31900,0;25500,0;0,2;mira, esteban;critica;rustico;0,561;23,0;15,0;3,5;2023,0;560,0;HERNAN CORTESLa biografía definitiva de Hernán Cortés: uno de los personajes más alabados y a la vez más odiados que ha sobrevivido a cinco siglos de HistoriaHernán Cortés ha sido uno de los personajes más controvertidos de la Historia, alabado y odiado a partes iguales. Lideró la expedición que supuso el final del estado mexica e inició la conquista de México. Su siguiente prioridad fue la exploración del océano Pacífico y buscó un estrecho que facilitase el comercio entre Europa y Asia. Cortés fue un triunfador en su época ya que logró lo que infructuosamente anhelaron todos los conquistadores: honra y fortuna para su linaje.Esteban Mira Caballos, historiador especializado en las relaciones entre España y América en el siglo XVI, con esta biografía necesaria arroja nueva luz al personaje valiéndose de una moderna metodología e incorporando los aportes de las investigaciones de los últimos años, al tiempo que responde a las preguntas de un lector de nuestro tiempo acerca de un personaje que no ha dejado de interesar a lo largo de cinco siglos.AdquieraHERNAN CORTESen nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.;https://feriachilenadellibro.cl/producto/9786075691220-hernan-cortes/;1207,5
el espiritu creativo;autoayuda;autoayuda;4;12000,0;9000,0;0,25;goleman, daniel;b de bolsillo;rustico/bolsillo;0,165;19,0;12,5;1,5;2024,0;224,0;EL ESPIRITU CREATIVOEl espíritu creativo encierra un mensaje fundamental: todos podemos ser creativos.Esto se aplica a los niños, los adultos, las empresas y las comunidades. ¿Cómo podemos liberar nuestro espíritu creativo y emplearlo para mejorar nuestra calidad de vida?Daniel Goleman es autor de los best sellers La inteligencia emocional y La inteligencia social. Psicólogo y periodista, fue profesor de psicología en la Universidad de Harvard.Paul Kaufman es el creador de la serie The Creative Spirit en EE.UU. Ha explorado el tema de la creatividad como investigador asociado a la Universidad de Harvard.Michael Ray obtuvo el primer premio a la creatividad y la innovación en la Universidad de Stanford.AdquieraEL ESPIRITU CREATIVOen nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.;https://feriachilenadellibro.cl/producto/9786073192118-el-espiritu-creativo/;356,25
el dinosaurio anacleto;ficcion y cuentos;libros infantiles;8;14900,0;11900,0;0,2;31 minutos;planeta comic;tapa dura;0,079;21,0;20,0;1,0;2024,0;32,0;EL DINOSAURIO ANACLETOGrandes y pequeños han vibrado con la música de 31 Minutos y hoy las clásicas canciones que marcaron a una generación toman forma de cuento para agrandar y musicalizar tu biblioteca. Esta es la historia del dinosaurio Anacleto, que por cosas del destino no murió en la glaciación. Sus amigos se extinguieron, lo dejaron solo y tuvo que resignarse a esta situación.AdquieraEL DINOSAURIO ANACLETOen nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.;https://feriachilenadellibro.cl/producto/9789566185826-el-dinosaurio-anacleto/;420,0
desayuno en tiffany s;contemporanea;literatura contemporanea;2;12000,0;9000,0;0,25;capote, truman;debolsillo;rustico/bolsillo;0,13;19,0;12,5;1,0;2024,0;160,0;DESAYUNO EN TIFFANY S“No entregues nunca tu corazón a un ser salvaje porque, si lo haces, se vuelve más y más fuerte hasta que adquiere la fuerza suficiente para volver al bosque o volar hacia un árbol. Y luego, a otro más alto hasta que desaparece en el cielo.”Holly Golightly es, tal vez, el personaje más cautivante creado por Truman Capote. Atractiva sin ser linda, tras haber rechazado una carrera de actriz en Hollywood se convierte en una de las figuras de la Nueva York más sofisticada, tomando cócteles por las noches, saliendo con hombres adinerados y rompiendo corazones. Mezcla de picardía e inocencia, de astucia y autenticidad, Holly se contenta con vivir el presente, sin mencionar su pasado y sin aferrarse a nada ni a nadie. Pero, pese al glamour que la rodea, soñando siempre con ese paraíso de lujo que representa la joyería Tiffany, de a poco revela una personalidad mucho menos resplandeciente.AdquieraDESAYUNO EN TIFFANY Sen nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.;https://feriachilenadellibro.cl/producto/9789563256550-desayuno-en-tiffany-s/;237,5
2001 una odisea espacial;ciencia ficcion;literatura ciencia ficcion;5;15000,0;11250,0;0,25;clarke, arthur;debolsillo;rustico/bolsillo;0,19;19,0;12,5;1,5;2024,0;237,0;2001 UNA ODISEA ESPACIALUn sobrecogedor viaje interestelar en busca de la evidencia de que el ser humano no está solo en el cosmos. Una expedición a los confines del universo y a los del alma, en la que pasado, presente y futuro se amalgaman en un continuo enigmático. ¿Qué esencia última nos rige? ¿Qué lugar ocupa el hombre en el complejo entramado del infinito? ¿Qué es el tiempo, la vida, la muerte? Una grandiosa novela de dimensiones épicas cuyo amplio abanico de interpretaciones ofrece una visión totalizadora.Adquiera2001 UNA ODISEA ESPACIALen nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.;https://feriachilenadellibro.cl/producto/9789563256468-2001-una-odisea-espacial/;356,25
el nino con el pijama de rayas;contemporanea;literatura contemporanea;2;13000,0;9750,0;0,25;boyne, john;debolsillo;rustico/bolsillo;0,16;19,0;12,5;1,5;2024,0;224,0;"EL NIÑO CON EL PIJAMA DE RAYASEstimado lector, estimada lectora:Aunque el uso habitual de un texto como éste es describir las características de la obra, por una vez nos tomaremos la libertad de hacer una excepción a la norma establecida. No sólo porque el libro que tienes en tus manos es muy difícil de definir, sino porque estamos convencidos de que explicar su contenido estropearía la experiencia de la lectura. Creemos que es importante empezar esta novela sin saber de qué trata.No obstante, si decides embarcarte en la aventura, debes saber que acompañarás a Bruno, un niño de nueve años, cuando se muda con su familia a una casa junto a una cerca. Cercas como ésa existen en muchos sitios del mundo, sólo deseamos que no te encuentres nunca con una. Por último, cabe aclarar que este libro no es sólo para adultos; también lo pueden leer, y sería recomendable que lo hicieran, niños a partir de los trece años de edad. El editorAdquieraEL NIÑO CON EL PIJAMA DE RAYASen nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.";https://feriachilenadellibro.cl/producto/9788466375597-el-nino-con-el-pijama-de-rayas/;356,25
el libro de la mujer;autoayuda;autoayuda;10;12000,0;9000,0;0,25;osho;debolsillo;rustico/bolsillo;0,21;19,0;12,5;1,5;2024,0;263,0;EL LIBRO DE LA MUJERSer masculino o femenino es más una cuestión de psicología que de fisiología.Este libro recoge las respuestas de Osho a las preguntas clave sobre lo que significa ser mujer en el mundo, o, más exactamente, el aspecto femenino de los seres humanos. Las preguntas abarcan cuestiones como la sexualidad, el amor, la relación de pareja, el trabajo, la maternidad, el aborto, el cuerpo femenino, la igualdad.Las respuestas de Osho se enmarcan en una visión del ser humano que está por encima de la diferencia de sexos. Ser masculino o femenino es más una cuestión de psicología que de fisiología. Un personaje como Jesucristo está más cerca de lo femenino que de lo masculino, y un personaje como Juana de Arco, al contrario.Para Osho, lo femenino es la fuente primitiva de vida, de creatividad, de entrega. El camino más seguro para llegar a conseguir una buena convivencia, para reducir los conflictos personales y sociales, y para aspirar a una sociedad más espontánea y consciente.AdquieraEL LIBRO DE LA MUJERen nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.;https://feriachilenadellibro.cl/producto/9789563256680-el-libro-de-la-mujer/;356,25
la dama del lago;novela negra;literatura novela negra;3;14000,0;10500,0;0,25;chandler, raymond;debolsillo;rustico/bolsillo;0,4;19,0;12,5;1,0;2024,0;512,0;LA DAMA DEL LAGOEn La dama del lago (1943), la cuarta novela de Raymond Chandler, el detective Philip Marlowe investiga la desaparición de dos mujeres: Crystal Kingsley, esposa de un rico empresario, y Muriel Chess, mujer del vigilante de la finca de los Kingsley en el lago Little Fawn.En realidad a Marlowe no le importa lo que les haya ocurrido -no le pagan por su empatía-, pero descubrir la verdad será un imperativo cuando se dé cuenta de que su vida está en juego. Esta edición incluye también los tres relatos pulp publicados en las revistas Dime Detective y Detective Story que Chandler canibalizó para escribir la novela: «Blues de Bay City» (1938), «La dama del lago» (1939) y «No hay crímenes en las montañas» (1941).AdquieraLA DAMA DEL LAGOen nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.;https://feriachilenadellibro.cl/producto/9789563256543-la-dama-del-lago/;237,5
emociones fuertes : diario inspirado en intensamente 2;sin categorizar;sin categorizar;5;11900,0;9500,0;0,2;disney;planeta editorial;rustico;0,4;21,0;15,0;1,0;2024,0;144,0;EMOCIONES FUERTES : DIARIO INSPIRADO EN INTENSAMENTE 2¿Te sientes feliz porque Alegría ha tomado el control de tu mente?¿Dijiste algo mortificante y ahora Vergüenza se apodera de ti?¿Tal vez Ansiedad se esconde en eso que te preocupa?Permítete sentir todas tus emociones junto a Alegría, Tristeza, Furia, Temor, Desagrado, Ansiedad, Envidia, Vergüenza y Ennui.Este diario es el acompañamiento perfecto para conectar contigo a lo largo del día. En sus espacios para escribir podrás:•Practicar la concentración.•Visualizar tus metas.•Desarrollar autocompasión.•Reflexionar sobre tu día.AdquieraEMOCIONES FUERTES : DIARIO INSPIRADO EN INTENSAMENTE 2en nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.;https://feriachilenadellibro.cl/producto/9789566232612-emociones-fuertes-diario-inspirado-en-intensamente-2/;315,0
dune la yihad butleriana;ciencia ficcion;literatura ciencia ficcion;9;14000,0;10500,0;0,25;herbert, brian / anderson, kevin j.;debolsillo;rustico/bolsillo;0,48;19,0;12,5;3,5;2024,0;640,0;DUNE LA YIHAD BUTLERIANADiez mil años antes del nacimiento de Paul Atreides, del derrocamiento de un imperio, los últimos humanos libres se rebelaron contra el dominio de las poderosas máquinas que los habían esclavizado. En Dune, la Yihad Butleriana se revela la historia de Serena Butler, la mujer que prendió la llama de esa rebelión. Se destapa la traición que convertiría en enemigos mortales a la Casa Atreides y la Casa Harkonnen. Se desvelan los orígenes de la hermandad Bene Gesserit, de los doctores Suk, de la Orden de los Mentat y la Cofradía Espacial. Y aparece un planeta olvidado, Arrakis, donde acaba de descubrirse la melange, la especia que puede cambiar el destino de miles de planetas…AdquieraDUNE LA YIHAD BUTLERIANAen nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.;https://feriachilenadellibro.cl/producto/9789563256574-dune-la-yihad-butleriana/;831,25
duma key;misterio y terror;literatura misterio y terror;6;16000,0;12000,0;0,25;king, stephen;debolsillo;rustico/bolsillo;0,56;19,0;12,5;4,0;2024,0;736,0;DUMA KEYTras sufrir un grave accidente, la vida del constructor millonario Edgard Fremantle cambia radicalmente. Ha perdido un brazo, se separa de su mujer y decide trasladarse a Duma Key para dedicarse a pintar.El paisaje de este cayo en Florida, con viejas casonas y una vegetación tropical, y la extraña propietaria de la isla desatan en Edgar una fiebre creadora sobrenatural: los paisajes surrealistas, los mares embravecidos y las muñecas que dibuja parecen formar parte de un aterrador mensaje de advertencia…AdquieraDUMA KEYen nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.;https://feriachilenadellibro.cl/producto/9789563256567-duma-key/;950,0
conciencia;autoayuda;autoayuda;4;12000,0;9000,0;0,25;osho;debolsillo;rustico/bolsillo;0,4;19,0;12,5;1,0;2024,0;224,0;CONCIENCIAUn mapa del despertar de la mano de la sabiduría de OshoCuanto más consciente se vuelve uno, más se recuerda a sí mismo, con más cautela actúa, más alerta está, más heridas empiezan a desaparecer, hay menos brotes de ira, menos odio, menos celos y menos sentimientos posesivos. Cuanto más consciente se vuelve uno, más se afianzan la salud y la integridad. Un día, uno simplemente descubre que todo eso se ha vuelto irrelevante, ha pasado a ser historia, ya no se trata de cuestiones vivas sino de cuestiones muertas.En esto consiste el milagro de adquirir conciencia: en que todo lo que es erróneo empieza a desvanecerse y todo lo que es correcto empieza a suceder. Individualmente, y como sociedad, la cuestión primordial es decidir si preferimos estar dormidos o despiertos, inconscientes o conscientes.AdquieraCONCIENCIAen nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.;https://feriachilenadellibro.cl/producto/9789563256512-conciencia/;237,5
madurez;autoayuda;autoayuda;4;11000,0;8250,0;0,25;osho;debolsillo;rustico/bolsillo;0,4;19,0;12,5;1,0;2024,0;176,0;MADUREZEn una cultura obsesionada con la juventud y empeñada en evitar a toda costa la vejez, en la época de la Viagra y de la cirugía estética, este libro se atreve a plantear la pregunta casi olvidada: ¿qué beneficios nos reportaría aceptar el proceso de envejecimiento como algo natural en lugar de intentar aferrarnos a la juventud y sus placeres?Osho nos sitúa ante las raíces del significado de crecer, que no es lo mismo que hacernos viejos, y nos recuerda los beneficios que solo esa maduración de nuestra existencia nos puede aportar, tanto en la relación con los demás como en la realización de nuestro destino individual. Señala los diez ciclos principales de crecimiento en la vida humana, desde el universo del niño, centrado en sí mismo, hasta la solidez de la sabiduría y la comprensión de la vejez, para mostrar que la sucesión de las distintas etapas no significa simplemente decadencia.AdquieraMADUREZen nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.;https://feriachilenadellibro.cl/producto/9789563255775-madurez/;237,5
hinduismo y budismo;religion;religion;2;18900,0;15100,0;0,2;coomaraswamy, ananda;paidos;rustico;0,19;21,0;15,0;1,0;2023,0;136,0;HINDUISMO Y BUDISMOUn estudio del hinduismo y del budismo particularmente interesante. El hinduismo es la más antigua de las religiones o, más bien, de las disciplinas metafísicas de que tenemos un conocimiento completo y preciso por fuentes escritas y, en lo que atañe a los dos últimos milenios, por documentos iconográficos. Es también una disciplina que sobrevive en una tradición intacta, vivida y comprendida hoy por millones de seres humanos. El budismo, en cambio, empieza con el mito, la vida misma del fundador, pero la personalidad de este último aparece totalmente oculta por la sustancia eterna con que se identifica. ¿Son suficientes estas características básicas para distinguir y definir ambas religiones? ¿Resulta válida la descontextualización para un análisis global? A estas preguntas, entre otras muchas, intenta responder Coomaraswamy en este libro imprescindible, un estudio del hinduismo y del budismo particularmente interesante porque, como era de prever, no se contenta con explicar el significado de estas dos grandes religiones, sino que las compara sistemáticamente con las grandes corrientes del pensamiento occidental tanto para analizarlas con mayor nitidez como para situarlas en su justo lugar.AdquieraHINDUISMO Y BUDISMOen nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.;https://feriachilenadellibro.cl/producto/9789501206869-hinduismo-y-budismo/;315,0
la era de la revolucion;historia universal;historia;3;31900,0;25500,0;0,2;hobsbawm, eric;critica;rustico;0,43;23,0;15,5;1,0;2019,0;352,0;LA ERA DE LA REVOLUCIONLa era de la revolucion?inicia el panorama de la historia contemporanea del mundo que eric Hobsbawm comenzo con este libro y concluyo con su?Historia del siglo XX. el gran historiador britanico nos ofrece en esta obra, reconocida como un clasico de la historiografia de nuestro tiempo ?no en vano Peter Laslett la definio como ?un libro brillante, poderoso y fascinante?-, una vision global de las transformaciones que tuvieron lugar entre 1789 y 1848, desde la Revolucion francesa y el despegue de la industrializacion britanica hasta la revolucion de 1848 y el Manifiesto comunista. una vision que no se limita a los acontecimientos politicos y a los avances economicos, sino que abarca temas tan diversos como los nacionalismos, las luchas campesinas, el movimiento obrero, las ideas religiosas, la ciencia o las artes.?La era de la revolucion?es un libro esclarecedor sobre los origenes y los fundamentos del mundo contemporaneo.AdquieraLA ERA DE LA REVOLUCIONen nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.;https://feriachilenadellibro.cl/producto/9788498921885-la-era-de-la-revolucion/;356,5
el monstruo y el asesino en serie;psicologia;medicina;7;30900,0;24700,0;0,2;garrido,vicente /  latorre, virgilio;ariel;rustico;0,746;23,0;14,5;1,0;2023,0;544,0;EL MONSTRUO Y EL ASESINO EN SERIECómo la literatura gótica del siglo xix ayudó a los científicos a desarrollar la categoría médica del psicópata criminal y el asesino en serie. Criminales como Jeffrey Dahmer o Ted Bundy han cautivado al imaginario común, introduciendo el arquetipo del asesino en serie a los referentes culturales que comprendemos como la mitología del siglo XXI. Pero ¿de dónde viene nuestra macabra obsesión por estas figuras? ¿Cómo ha influido la producción artística en el desarrollo de la categoría científica del psicópata? Es en la literatura gótica clásica donde podemos ver indicios de esta condición perturbadora. De modo sorprendente, este género definió al serial killer que la ciencia ha validado con el devenir del tiempo.AdquieraEL MONSTRUO Y EL ASESINO EN SERIEen nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.;https://feriachilenadellibro.cl/producto/9789569948381-el-monstruo-y-el-asesino-en-serie/;333,5
adios, muneca;novela negra;literatura novela negra;4;14000,0;10500,0;0,25;chandler, raymond;debolsillo;rustico/bolsillo;0,4;19,0;12,5;1,0;2024,0;472,0;ADIOS, MUÑECAAdiós, muñeca (1940), considerada por muchos la mejor obra de Raymond Chandler, es su segunda novela. El detective Philip Marlowe emprende la búsqueda apasionada de una cantante pelirroja, se ve envuelto en la escena de un crimen y debe desenredar un turbio asunto de deudas de juego. No tardará en descubrir que una costumbre ha arraigado en Los Ángeles: disparar primero y preguntar después. Esta edición reúne también los tres relatos pulp, publicados en las revistas Black Mask y Dime Detective, que Chandler canibalizó para escribir la novela: «El hombre que amaba a los perros» (1936), «Busquen a la chica» (1937) y «El jade del mandarín» (1937).AdquieraADIOS, MUÑECAen nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.;https://feriachilenadellibro.cl/producto/9789563256475-adios-muneca/;237,5
nosotros en la luna : edicion especial;novela romantica;literatura novela romantica;9;30500,0;24400,0;0,2;kellen, alice;planeta editorial;tapa dura;0,4;23,0;15,0;1,0;2023,0;480,0;NOSOTROS EN LA LUNA : EDICION ESPECIALCuando Rhys y Ginger se conocen en las calles de la ciudad de la luz, no imaginan que sus vidas se unirán para siempre, a pesar de la distancia y de que no puedan ser más diferentes. Ella vive en Londres y a veces se siente tan perdida que se ha olvidado hasta de sus propios sueños. Él es incapaz de quedarse quieto en ningún lugar y cree saber quién es. Y cada noche su amistad crece entre emails llenos de confidencias, dudas e inquietudes. Pero ¿qué ocurre cuando el paso del tiempo pone a prueba su relación? ¿Es posible colgarse de la luna junto a otra persona sin poner en riesgo el corazón?Una historia sobre el amor, el destino y la búsqueda de uno mismo.Edición especial con ilustraciones de Ana Santos de la novela más emblemática de Alice Kellen, la autora que ha cautivado a más de 1.000.000 de lectores.AdquieraNOSOTROS EN LA LUNA : EDICION ESPECIALen nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.;https://feriachilenadellibro.cl/producto/9788408266860-nosotros-en-la-luna-edicion-especial/;345,0
la cadena de espinas;fantasia y magia;libros juveniles;2;27900,0;22300,0;0,2;clare, cassandra;destino ediciones;rustico;0,4;22,0;15,0;1,0;2023,0;832,0;LA CADENA DE ESPINASLlega el esperado final de la serie Las últimas horas de la aclamada Cassandra ClareCordelia Carstairs ha perdido todo lo que le importa. En solo unas pocas semanas, su padre ha muerto y su idea de casarse con James Herondale se ha ido al traste. Por si fuese poco, sigue ligada a un antiguo demonio, Lilith, despojándola de su poder como cazadora de sombras y Londres está bajo una nueva amenaza por parte del Príncipe del Infierno, Belial.Sus amigos tampoco pueden ayudar: destrozados por sus propios secretos, parecen destinados a enfrentarse solos a lo que se avecina. Cordelia tendrá que tomar decisiones difíciles y arriesgar todo lo que creía seguro para intentar sobrevivir en un futuro cada vez más incierto. Porque si falla, puede perderlo todo, incluso su alma.AdquieraLA CADENA DE ESPINASen nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.;https://feriachilenadellibro.cl/producto/9788408278795-la-cadena-de-espinas/;330,0
la hermandad de la sabana santa;novela historica;literatura novela historica;14;16000,0;12000,0;0,25;navarro, julia;debolsillo;rustico/bolsillo;0,4;19,0;12,5;1,0;2024,0;528,0;"LA HERMANDAD DE LA SABANA SANTAUn incendio en la catedral de Turín, donde se venera la Sábana Santa, y la muerte en él de un hombre al que habían cortado la lengua son los detonantes de una trepidante investigación policial del Departamento de Arte, capitaneado por el detective Marco Valoni. Junto a la perspicaz y atractiva historiadora Sofia Galloni y una periodista ávida de preguntas, el grupo de Valoni deberá resolver un enigma que arranca de los templarios y llega hasta la actualidad.Una trama que tiene como nexo de unión a una élite de hombres de negocios, cultos, refinados y muy poderosos. Los investigadores no cejarán en su empeño hasta demostrar que los sucesos de la catedral están conectados con la Sábana Santa y con las vicisitudes que ha vivido a lo largo de la historia, desde Jesucristo al antiguo imperio bizantino, la nueva Turquía, la Francia de Felipe el Hermoso, España, Portugal y Escocia…Con la historia y la imaginación como elementos de partida, Julia Navarro ha construido una novela que deja al lector sin aliento, que abre las puertas a un fascinante viaje por el pasado, el presente y las insospechadas relaciones entre ambos. Una narración que sorprende en cada página, una deslumbrante novela de aventuras.“Qué difícil es representar 2 000 años de historia novelada, pero Julia lo ha conseguido; y para ello no ha empleado sólo un hilo, sino muchos, que al final convergen.”Felipe GonzálezAdquieraLA HERMANDAD DE LA SABANA SANTAen nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.";https://feriachilenadellibro.cl/producto/9786073116244-la-hermandad-de-la-sabana-santa/;237,5
audaz, productivo y feliz;autoayuda;autoayuda;7;11000,0;8250,0;0,25;sharma, robin;debolsillo clave;rustico/bolsillo;0,135;19,0;12,5;0,9;2024,0;189,0;AUDAZ, PRODUCTIVO Y FELIZEste libro ofrece propuestas prácticas que contribuirán a un cambio rápido en los hábitos diarios para alcanzar el máximo potencial de cada uno. Robin Sharma incluye aquí 36 módulos capaces de transformar radicalmentela dinámica vital para conducir al lector a horizontes profesionales y personales más elevados. El autor nos invita a reflexionar sobre la forma en que vivimos y trabajamos, y a comprometernos a introducir cambios de rumbo profundos para prosperar entodos los ámbitos de la vida.RobinSharma es autor del best seller internacional El monje que vendió su Ferrari, con más de 5.000.000 de ejemplares vendidos Audaz, productivo y feliz te enseñará a:o Conseguir un rendimiento extraordinario en tu trabajo y en tu vida.o Encontrar un enfoque equilibrado del éxito.o No dejar nunca de aprender.o Desarrollar un entorno propicio para la excelenciao Ejercer un verdadero liderazgo.«No dispones de días de más, ni de días sin sentido. Hoy mismo puedestomar la decisión de aspirar a una meta más alta, de ser quien siempre has deseado ser.»Robin SharmaAdquieraAUDAZ, PRODUCTIVO Y FELIZen nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.;https://feriachilenadellibro.cl/producto/9786287641792-audaz-productivo-y-feliz/;213,75
